f635010a-6aa7-4029-95d2-f6e36e5bb8c7,OL29022114W,I fuochi di Valyria. Le cronache del ghiaccio e del fuoco vol. 11,,,OPENLIBRARY
dda1195a-3a7a-4d20-aa9a-76e3e4f7b83c,OL21678538W,Clash of Kings 2 [graphic novel],,,OPENLIBRARY
a2c7c037-ed22-4d11-91a3-7eb463bd07fe,OL19323714W,Steel and snow,,https://covers.openlibrary.org/b/id/15119638-M.jpg,OPENLIBRARY
f46a8e08-d1ad-42f1-9418-f1b3e900234e,OL34947543W,Astres et des ombres,,https://covers.openlibrary.org/b/id/13772788-M.jpg,OPENLIBRARY
8962b2a3-69e5-44dd-8c63-b90ebd1373bf,OL29231527W,The hedge knight / The sworn sword,,,OPENLIBRARY
b345a60a-bc91-4870-9f7e-559b9ec2c1da,OL19761208W,Windhaven - The Graphic Novel,"""Among the scattered islands of the ocean-bound world called Windhaven, no one holds more prestige than the silver-winged flyers--humans borne on handcrafted wings who cross treacherous seas, braving shifting winds and sudden storms, to bring news, gossip, songs, and stories to Windhaven's far-flung communities. Maris of Lesser Amberly is only a fisherman's daughter, but as much a descendant of the star sailors who founded her world as the flyer family who adopted her. She yearns to soar high above the water on the sky's buffeting currents. But it is Maris's stepbrother who stands to inherit the irreplaceable wings when he comes of age--though he dreams of pursuing a very different path. So Maris dares to challenge tradition and the law by demanding that flyers be chosen by merit rather than inheritance. Determined to establish flying competitions and training academies for those not of the flyer-born classes, she wages a bitter battle for change. But even as she triumphs, a host of new troubles confronts her. For a brewing revolution now threatens to destroy the world she fought so hard to join, and crush her proud, rebellious spirit--unless she is willing to make the ultimate sacrifice. From the united imaginations of two award-winning authors, #1 New York Times bestseller George R.R. Martin (Game of Thrones) and Lisa Tuttle (Lost Futures), Windhaven is now a spectacular full-color graphic novel--adapted by Lisa Tuttle, illustrated by Marvel Comics artist Elsa Charretier, and a must-have for fans of classic fantasy fiction and artwork.""--Amazon.com.",https://covers.openlibrary.org/b/id/12063648-M.jpg,OPENLIBRARY
90c1a6d0-76d4-4675-9e65-2ec5555c98c1,OL1955944W,A Song for Lya,,https://covers.openlibrary.org/b/id/15126256-M.jpg,OPENLIBRARY
3bedd150-d536-413c-a2bd-6aeb3d303fe5,OL257914W,A Storm of Swords,"Here is the third volume in George R. R. Martin’s magnificent cycle of novels that includes *A Game of Thrones* and *A Clash of Kings*. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martin’s stunning series is destined to stand as one of the great achievements of imaginative fiction.

***A Storm of Swords***

Of the five contenders for power, one is dead, another in disfavor, and still the wars rage as violently as ever, as alliances are made and broken. Joffrey, of House Lannister, sits on the Iron Throne, the uneasy ruler of the land of the Seven Kingdoms. His most bitter rival, Lord Stannis, stands defeated and disgraced, the victim of the jealous sorceress who holds him in her evil thrall. But young Robb, of House Stark, still rules the North from the fortress of Riverrun. Robb plots against his despised Lannister enemies, even as they hold his sister hostage at King’s Landing, the seat of the Iron Throne. Meanwhile, making her way across a blood-drenched continent is the exiled queen, Daenerys, mistress of the only three dragons still left in the world. . . .

But as opposing forces maneuver for the final titanic showdown, an army of barbaric wildlings arrives from the outermost line of civilization. In their vanguard is a horde of mythical Others—a supernatural army of the living dead whose animated corpses are unstoppable. As the future of the land hangs in the balance, no one will rest until the Seven Kingdoms have exploded in a veritable storm of swords. . .

Preceded by: [***A Clash of Kings***][1]
Followed by: [***A Feast for Crows***][2]

([Source][3])

[1]: https://openlibrary.org/works/OL257939W
[2]: https://openlibrary.org/works/OL257948W
[3]: https://georgerrmartin.com/grrm_book/a-storm-of-swords-a-song-of-ice-and-fire-book-three/",https://covers.openlibrary.org/b/id/15124196-M.jpg,OPENLIBRARY
fbdbee85-8f18-4ef1-b557-5b709e8df3b0,OL19863928W,Shadows & Reflections: A Roger Zelazny Tribute Anthology,,https://covers.openlibrary.org/b/id/8669437-M.jpg,OPENLIBRARY
a1a6826d-f9e8-4800-bf44-4eae2bc3567b,OL1955943W,Sandkings,,https://covers.openlibrary.org/b/id/7010135-M.jpg,OPENLIBRARY
